구분,학년,수강학과,수강번호,교과목명,학점,시간,담당교수,강의시간,강의실,소영역,비고
전선,2,통사교,3388,문화지리,3,3-0-0,오정준,합)지리월(13:30-14:45),사범1관-13,,
,,통사교,3389,사회조사방법론,3,2-2-0,박정호,합)일사월(15:00-16:50) | 수(15:00-16:50),사범1관-14,,
,3,통사교,3390,동양사교육특강,3,3-0-0,신주현,합)역교화(13:30-14:45) | 목(15:00-16:15),사범1관-14,,
,,통사교,3391,법과사회,3,3-0-0,김수용,합)일사화(15:00-16:15) | 목(13:30-14:45),사범1관-14,,
,,통사교,3392,응용윤리,3,0-0-3,미선임,윤리토(13:00-15:50),사범1관-13,,
,4,통사교,3393,동아시아현대사,3,3-0-0,신주현,합)역교월(15:00-16:50) | 수(15:00-16:50),사범1관-13,,
,,통사교,3394,통합사회교재연구및,,,지도법 3 0-0-3 정재승,토(09:00-12:50),"<공통>,실 사범1관-13",,무교과목
,1,통과교,3536,지구과학및실험,3,2-2-0,김윤지,합)지구화(13:00-14:50) | 목(15:00-16:50),사범3관-31,,
,2,통과교,3537,분석화학(1),3,3-0-0,심준호,합)화교목(10:30-11:45),사범3관-22,,
,,통과교,3538,양자화학,3,3-0-0,송종원,합)화교화(10:30-11:45) | 목(09:00-10:15),사범3관-22,,
,,통과교,3539,유기화학(1),3,3-0-0,김은주,합)화교월(13:30-14:45) | 수(15:00-16:15),사범3관-22,,
,,통과교,3540,일반생물학및실험,3,2-2-0,김용성,생물교육금(09:00-12:50),사범3관-32,,
,,통과교,3541,역학및교육(1),3,3-0-0,현창호,합)물교월(13:30-14:45) | 수(15:00-16:15),사범3관-13,,
,,통과교,3542,대기과학(1),3,3-0-0,교내공모,합)지구수(09:00-10:15) | 수(10:30-11:45),사범3관-21,,
,3,통과교,3543,무기화학(1),3,3-0-0,김보혜,합)화교월(09:00-10:15) | 수(09:00-10:15),사범3관-23,,
,,통과교,3544,분자생물학,3,3-0-0,박종근,합)생교화(15:00-16:15) | 목(13:30-14:45),사범3관-32,,
,,통과교,3545,생태학,3,3-0-0,조영석,합)생교화(10:30-11:45) | 목(09:00-10:15),사범3관-32,,
,,통과교,3546,현대물리학(1),3,3-0-0,이희조,합)물교월(10:30-11:45) | 수(09:00-10:15),사범3관-13 사범3관-13,,
,4,통과교,3547,양자역학(1),3,3-0-0,현창호,합)물교화(09:00-10:50) | 목(09:00-10:50),사범3관-13,,
,,통과교,3548,과학교재연구및지도,,,법 3 3-0-0 김학범,<공통>금(13:00-16:50),사범3관-22,,
