구분,학년,수강학과,수강번호,교과목명,학점,시간,담당교수,강의시간,강의실,소영역,비고
,,대학전체,3889,DU도전전공설계(1),3,3-0-0,융합교육센 터,,미지정0,,전선 N
,,대학전체,3891,DU도전전공설계(2),3,3-0-0,융합교육센 터,,미지정,,N
,,대학전체,3892,DU도전전공설계(3),3,3-0-0,융합교육센 터,,미지정,,N
,,대학전체,2231,공인시험영어,3,3-0-0,전선,월(10:30-11:45) | 수(09:00-10:15),윤관희 사회3관-32013,,N
,,대학전체,2232,공인시험영어,3,3-0-0,이민경,화(12:00-13:15) | 목(12:00-13:15),경영1관-1201 강의실,문화콘텐츠학부,N 학년 구분 수강학과 수강 교수 강의시간 비고
,,문화콘텐츠,2233,문화콘텐츠입문,3,1-0-2,서요성,화(10:30-11:45) | 목(09:00-10:15),인문1관-12201 실무교,,전선 과목 N
,,문화콘텐츠,2234,공연콘텐츠입문,3,1-0-2,과목,화(13:30-14:45) | 목(15:00-16:15),인문1관-1224 실무교,,권응상 N
,,문화콘텐츠,2235,디지털미디어의이해,3,1-0-2,임동욱,월(15:00-16:15) | 월(16:30-17:45),인문1관-12212 실무교,,전선 과목 N
,,문화콘텐츠,2236,대중음악이론과실제,3,1-0-2,노창현,월(09:00-10:15) | 월(10:30-11:45),인문1관-1221 실무교,,과목 N
,,문화콘텐츠,2237,문화예술과미디에이터,3,1-0-2,임동욱,월(12:00-13:15) | 월(13:30-14:45),인문1관-1221 실무교,,과목 N
,,문화콘텐츠,2238,웹미디어문예창작입문,3,1-0-2,양진오,화(13:30-14:45) | 목(15:00-16:15),인문1관-1320 실무교,,과목 N
,,문화콘텐츠,2239,광고언어분석,3,1-0-2,이정복,화(13:30-14:45) | 목(15:00-16:15),인문2관-22023 실무교,,전선 과목 N
,,문화콘텐츠,2240,웹기반스토리창작기초,3,3-0-0,양진오,월(13:30-14:45) | 수(15:00-16:15),인문1관-1224,,N
,,문화콘텐츠,2241,퍼포먼스의이론과실제,,,(1) 3 1-0-2 이창원,화(09:00-10:15) | 화(10:30-11:45),인문1관-1324 실무교,,과목 N
,,문화콘텐츠,2242,미디어언어와출판,3,3-0-0,이정복,화(15:00-16:15) | 목(13:30-14:45),인문1관-13244,,전선 N
,,문화콘텐츠,2243,문화콘텐츠기획제작,3,1-0-2,노창현,월(12:00-13:15) | 월(13:30-14:45),인문1관-1428 실무교,,과목 N
,,문화콘텐츠,2244,지역문화콘텐츠조사,3,1-0-2,이창원,화(12:00-13:15) | 화(13:30-14:45),인문1관-1324 실무교 강의실,,과목 N ※ 교차설강 교과목 학년 구분 수강학과 수강 교수 강의시간 비고
,,문화콘텐츠,4052,알고보면재미있는경제,,,이야기(1) 3 3-0-0 미선임,월(12:00-13:15) | 수(12:00-13:15),경영1관-13111,,전선 합)글 로벌경 Y
,,문화콘텐츠,4053,고전소설론,3,3-0-0,이종필,월(16:30-17:45) | 수(16:30-17:45),사범1관-12172,,전선 합)국 교 Y
,,문화콘텐츠,4054,일본문화,3,3-0-0,최장근,화(12:00-13:15) | 목(12:00-13:15),인문1관-1221 강의실 강의실,,"합)일 본어 Y 지정된 교과목을 이수할 경우 소속 학과(전공)의 제1전공 학점으로 인정 됩니다. 1. 교차설강 교과목은 소속 학과(전공)의 전공교과목으로 지정되어 있으며, 2. 위치를 반드시 확인 후 이동시간을 고려하여 수강신청 하시기 바랍니다 법학부(법학전공) 학년 구분 수강학과 수강 교수 강의시간 비고"
