구분,학년,수강학과,수강번호,교과목명,학점,시간,담당교수,강의시간,강의실,소영역,비고
,,대학전체,1052,고대그리스철학,3,3-0-0,,,DU∼MOO DU∼MOOC,역사·철학,"변상출 C,외국인"
,,대학전체,1053,컴퓨팅적사고와융합,,,적문제해결 3 3-0-0 조익성,,DU∼MOO DU∼MOOC,과학·기술,C
,,대학전체,1054,"클라시카,호메로스,",,,일리아드오디세이아 3 3-0-0 조혜경,수(09:00-10:15),인문1관-12,문학·예술,블렌디드러 닝
,,대학전체,1055,오디세이프로젝트3,,,전쟁과평화 3 3-0-0 전용숙,,본교가상본교가상,문학·예술,
균형,1,대학전체,1056,영어인문학,3,3-0-0,강민건,문학·예술월(12:00-13:15) | 수(12:00-13:15),사범1관-12,,
,,대학전체,1058,클래식로드,3,3-0-0,조혜경,화(12:00-13:15),인문1관-12,문학·예술,블렌디드러 닝
,,대학전체,1059,동아시아수도인문기,,,행 3 3-0-0,,DU∼MOO DU∼MOOC,사회·문화,권응상 C
,,대학전체,1060,청각이해와재활,3,3-0-0,허승덕,,K∼MOOCK∼MOOC,과학·기술,
,,대학전체,1061,"문학,영화를만나다",3,3-0-0,하수정,문학·예술화(13:30-14:45) | 목(15:00-16:15),인문1관-12,,
,,대학전체,1062,지구를여행하는예술·,,,디자인안내서 3 3-0-0 정석연,문학·예술화(13:30-14:45) | 목(15:00-16:15),경영1관-13,,
,,대학전체,1063,AI시대기술과윤리,3,3-0-0,김현숙,,DU∼MOO DU∼MOOC,과학·기술,C
,,대학전체,1064,동아시아항도인문기,,,행 3 3-0-0,,DU∼MOO DU∼MOOC,사회·문화,권응상 C
,,대학전체,1065,뮤지컬의이해와감상,3,3-0-0,김수연,문학·예술금(13:30-14:45) | 금(15:00-16:15),공학5관-51,,
,,대학전체,1066,어휘로본영미문화,3,3-0-0,이은석,사회·문화화(15:00-16:15) | 목(13:30-14:45),인문2관-22,,
,,대학전체,1067,글램핑,2,1-2-0,최종필,집중수업월(12:00-14:50),인문1관-14,여가·체육,
,,대학전체,1068,대학화학기초,3,3-0-0,심준호,수(12:00-13:15),생과2관-11,과학·기술,블렌디드러 닝
,,대학전체,1069,디지털트랜스포메이,,,션과위치정보 3 3-0-0 양성철,,DU∼MOO DU∼MOOC,과학·기술,C
,,대학전체,1070,파이썬을이용한AI기,,,초수학 3 3-0-0 김재준,화(13:30-14:45),공학5관-51,과학·기술,블렌디드러 닝
,,대학전체,1072,DU뉴스포츠,2,1-2-0,최봉암 평교골프장,여가·체육수(09:00-11:50),,,
,,대학전체,1073,DU테니스,2,1-2-0,조민행 테니스장,여가·체육수(13:00-15:50),,,
,,대학전체,1074,우주의이해,3,3-0-0,안성호,과학·기술화(13:30-14:45) | 목(15:00-16:15),사범1관-12,,
,,대학전체,1075,일상에서찾아보는자,,,료구조의원리 3 3-0-0 차경애,,K∼MOOCK∼MOOC,과학·기술,
,,대학전체,1076,영화속의경제학,3,3-0-0,박길환 공공인재-강,사회·문화월(16:30-17:45) | 수(16:30-17:45),,,
,,대학전체,1077,스포츠클라이밍입문,2,1-2-0,박재암,여가·체육월(09:00-11:50),인문1관-14,,
,,대학전체,3899,AI입문,3,3-0-0,김희철,,외부가상외부가상,과학·기술,
,,대학전체,3900,생활속의반도체,3,3-0-0,허경섭,,외부가상외부가상,과학·기술 문화콘텐츠학부,
공통,1,문화콘텐츠,1196,AI시대대학생활(1),1,1-0-0,서요성,인성(필)목(11:00-11:50),인문1관-13,,
,,문화콘텐츠,1197,AI시대대학생활(1),1,1-0-0,,인성(필)목(11:00-11:50),인문1관-13,,권응상
,,문화콘텐츠,1198,AI시대대학생활(1),1,1-0-0,이규환,인성(필)목(11:00-11:50),인문1관-13,,
,,문화콘텐츠,1199,AI시대대학생활(1),1,1-0-0,양진오,인성(필)목(11:00-11:50),인문2관-22,,
,,문화콘텐츠,1200,AI시대대학생활(1),1,1-0-0,이정복,인성(필)목(11:00-11:50),인문2관-23,,
,,문화콘텐츠,1201,AI시대대학생활(1),1,1-0-0,이희정,인성(필)목(11:00-11:50),인문2관-23,,
,,문화콘텐츠,1202,AI글쓰기기초,2,2-0-0,조익성 사고와표현 (필),목(12:00-13:50),인문1관-13,,
,,문화콘텐츠,1203,AI글쓰기기초,2,2-0-0,하영명 사고와표현 (필),목(12:00-13:50),인문1관-13,,
,2,문화콘텐츠,1195,빅컨셉+,2,2-0-0,이종주,사고와표현월(16:00-17:50),인문1관-12,,
균형,1,문화콘텐츠,1204,예술과디지털커뮤니,,,케이션 3 3-0-0 이소영,문학·예술금(13:30-14:45) | 금(15:00-16:15),인문2관-22,,
,,문화콘텐츠,1205,아름다움이란무엇인,,,가 3 3-0-0 윤주한,문학·예술화(16:30-17:45) | 목(16:30-17:45),인문2관-22,,
,,문화콘텐츠,1206,21세기한국문학과표,,,현 2 2-0-0 박규준,문학·예술화(14:00-15:50),인문1관-14,,
,,문화콘텐츠,1207,"놀이,예술,상상력",2,2-0-0,이소영,수(12:00-13:50),인문1관-13,문학·예술,블렌디드러 닝 공공인재대학
공통,1,경찰행정,1211,DU실용영어(1),2,2-0-0,윌리엄 샤 프 공공인재-12,월(14:00-15:50),,글로벌의사 소통,
,,경찰행정,1212,DU실용영어(1),2,2-0-0,에리티 다 니엘 크리 공공인재-11,월(14:00-15:50),,글로벌의사 소통,
,,경찰행정,1213,AI시대대학생활(1),1,1-0-0,기광도 공공인재-13,인성(필)화(12:00-12:50),,,
,,경찰행정,1214,AI시대대학생활(1),1,1-0-0,공공인재-13,인성(필)화(12:00-12:50),,,김상호
,,경찰행정,1215,AI시대대학생활(1),1,1-0-0,지유미 공공인재-13,인성(필)화(12:00-12:50),,,
,,경찰행정,1216,AI시대대학생활(1),1,1-0-0,장민환 공공인재-13,인성(필)화(12:00-12:50),,,
,,자치경찰,1217,DU실용영어(1),2,2-0-0,크리스틴 안소니 로 공공인재-13,화(10:00-11:50),,글로벌의사 소통,
,,자치경찰,1218,DU실용영어(1),2,2-0-0,김태우 공공인재-13,화(10:00-11:50),,글로벌의사 소통,
,,자치경찰,1219,AI시대대학생활(1),1,1-0-0,공공인재-13,인성(필)목(12:00-12:50),,,함요상
,,자치경찰,1220,AI시대대학생활(1),1,1-0-0,김정렬 공공인재-13,인성(필)목(12:00-12:50),,,
,,자치경찰,1221,AI시대대학생활(1),1,1-0-0,박여주 공공인재-12,인성(필)목(12:00-12:50),,,
,,국방군사,1222,DU실용영어(1),2,2-0-0,뉴옌챈트 루 공공인재-11,월(10:00-11:50),,글로벌의사 소통,
,,국방군사,1223,DU실용영어(1),2,2-0-0,조셉 데븐 포트 공공인재-13,월(10:00-11:50),,글로벌의사 소통,
,,국방군사,1224,AI시대대학생활(1),1,1-0-0,이동춘 공공인재-11,인성(필)목(10:00-10:50),,,
,,소방·행정,1231,AI글쓰기기초,2,2-0-0,박규준 사고와표현 (필) 공공인재-13,수(10:00-11:50),,,
