구분,학년,수강학과,수강번호,교과목명,학점,시간,담당교수,강의시간,강의실,소영역,비고
,,디예대,1811,아름다움이란무엇인가,3,3-0-0,윤주한,월(13:30-14:45) | 수(15:00-16:15),디예2관-2310,,
,,사범대,1915,아름다움이란무엇인가,3,3-0-0,,화(16:30-17:45) | 목(16:30-17:45),사범1관-1216,,변상출
,,사범대,1916,"클라시카,플라톤,국가",3,3-0-0,,수(15:00-16:15),사범1관-1217,,변상출 블렌디드러닝
,,대학전체,1053,컴퓨팅적사고와융합적,,,문제해결 3 3-0-0 조익성,,DU∼MOOC DU∼MOOC,,
,,대학전체,1054,"클라시카,호메로스,일",,,리아드오디세이아 3 3-0-0 조혜경,수(09:00-10:15),인문1관-1224,,블렌디드러닝
,,사범대,1917,"클라시카,공자,논어",3,3-0-0,노우정,월(10:30-11:45) | 수(09:00-10:15),사범1관-1210,,블렌디드러닝
,,대학전체,1055,오디세이프로젝트3전,,,쟁과평화 3 3-0-0 전용숙,,본교가상 본교가상,,
,,사범대,1919,공감하는인간의이해,3,3-0-0,조혜경,수(12:00-13:15),사범1관-1216,,블렌디드러닝
,,재과대,2061,공감하는인간의이해,3,3-0-0,조혜경,화(16:30-17:45),재과1관-1213,,블렌디드러닝
,,대학전체,1074,우주의이해,3,3-0-0,안성호,화(13:30-14:45) | 목(15:00-16:15),사범1관-1213 비고강의실강의시간담당,글로벌경영,창업학전공 교수시간학 점교과목명수강 번호수강학과구분학년 대학
,,,1371,사회적기업의이해,3,3-0-0,이주현,월(09:00-10:15) | 월(10:30-11:45),경영1관-12121,균형,
,,대학전체,1088,창업의이해,2,2-0-0,문홍수,목(09:00-10:50),경영1관-1209자유,,
,,대학전체,1089,창업의이해,2,2-0-0,문홍수,수(10:00-11:50),경영1관-1209,,
,,대학전체,1090,창업의이해,2,2-0-0,서태호,금(09:00-10:50),경영1관-1313,,
,,대학전체,1091,창업마케팅,2,2-0-0,서태호,목(11:00-12:50),경영1관-1401,,
,,대학전체,1092,기업가정신,2,2-0-0,정규만,화(13:00-14:50),경영1관-1117,,
,,대학전체,1093,기업가정신,2,2-0-0,이문락,수(14:00-15:50),경영1관-1117,,
,,IT·공과대학,1730,기술창업의이해,2,2-0-0,김수연,목(15:00-16:50),공학5관-5306,,
,,대학전체,1102,창업캡스톤디자인,3,3-0-0,이재현,월(10:30-11:45) | 수(09:00-10:15),경영1관-1117 경영1관-1201,,
,,대학전체,1103,실전창업의기초,2,2-0-0,문홍수,수(15:00-16:50),경영1관-1209,,
,,대학전체,1112,창업금융의이해,2,2-0-0,정규만,목(10:00-11:50),경영1관-1210,,
,,대학전체,1113,기술사업화상품개발이,,,해 2 2-0-0 정규만,화(10:00-11:50),경영1관-1211,,
,,대학전체,1114,기술사업화상품개발이,,,해 2 2-0-0 이문락,수(10:00-11:50),경영1관-1117,,
,,대학전체,1188,서비스디자인창업스튜,,,디오 2 2-0-0,화(13:00-14:50),경영1관-1210,,
,,대학전체,1190,로컬콘텐츠창업,2,2-0-0,최정운,목(09:00-10:50),경영1관-1107,,
,,창업학,3944,창업경영전략,3,2-0-1,권순재 전선,,본교가상4 합)자산관리·6 비고강의실강의시간담당,,스포츠산업창업전공 교수시간학 점교과목명수강 번호수강학과구분학년 스포츠산업 창업
,,,3945,스포츠레저창의설계,1,0-2-0,권욱동 합)스레저전선,목(13:00-14:50),인문1관-14291,,
,,대학전체,1088,창업의이해,2,2-0-0,문홍수,목(09:00-10:50),경영1관-1209자유,,
,,대학전체,1089,창업의이해,2,2-0-0,문홍수,수(10:00-11:50),경영1관-1209,,
,,대학전체,1090,창업의이해,2,2-0-0,서태호,금(09:00-10:50),경영1관-1313,,
,,대학전체,1091,창업마케팅,2,2-0-0,서태호,목(11:00-12:50),경영1관-1401,,
,,대학전체,1092,기업가정신,2,2-0-0,정규만,화(13:00-14:50),경영1관-1117,,
,,대학전체,1093,기업가정신,2,2-0-0,이문락,수(14:00-15:50),경영1관-1117,,
,,대학전체,1101,가상창업비즈니스모델,,,론 2 2-0-0 서태호,목(09:00-10:50),경영1관-1310,,
,,대학전체,1102,창업캡스톤디자인,3,3-0-0,이재현,월(10:30-11:45) | 수(09:00-10:15),경영1관-1117 경영1관-1201,,
,,대학전체,1112,창업금융의이해,2,2-0-0,정규만,목(10:00-11:50),경영1관-1210,,
,,대학전체,1113,기술사업화상품개발이,,,해 2 2-0-0 정규만,화(10:00-11:50),경영1관-1211,,
,,대학전체,1114,기술사업화상품개발이,,,해 2 2-0-0 이문락,수(10:00-11:50),경영1관-1117,,
,,대학전체,1188,서비스디자인창업스튜,,,디오 2 2-0-0,화(13:00-14:50),경영1관-1210,,스포츠산업 창업
,,,3946,보장구학,2,0-0-2,미선임 합)물치전선,금(14:00-15:50),재과1관-13122,,스포츠산업 창업
,,,3947,초등체육과교육,3,0-0-3,김예지,수(15:00-16:15) | 수(16:30-17:45),사범1관-1336,,합)초특 스포츠산업 창업
,,,3948,스포츠레져경영론,3,3-0-0,박재암,월(13:30-14:45) | 수(15:00-16:15),인문2관-22033,,합)스레저전선 스포츠산업 창업
,,,3949,스포츠트레이닝방법론,2,1-2-0,한건수 평교12104 합)스레저전선 스포츠산업 창업,목(09:00-11:50),,,
,,,3950,창업경영전략,3,2-0-1,권순재,,본교가상 합)자산관리·6 생태관광치유학전공 비고강의실강의시간담당 생태관광치,,교수시간학 점교과목명수강 번호수강학과구분학년 유학
,,,3951,동물자원학,3,3-0-0,김원섭,금(09:00-10:15) | 금(10:30-11:45),생과3관-12051 생태관광치,,합)동물전선 유학
,,,3952,기초동물과학,3,3-0-0,홍창수,월(15:00-16:15) | 수(13:30-14:45),생과3관-1301 생태관광치,,합)동물 유학
,,,3953,특수가축학및실습,3,2-2-0,심수민 합)동물전선,금(09:00-12:50),생과3관-12032 생태관광치,,유학
,,,3954,동물영양학및실험,3,2-2-0,김원섭 합)동물,수(09:00-12:50),생과3관-1203 생태관광치,,유학
,,,3955,축산식품미생물학및실,,,험 3 2-2-0 강석남,화(09:00-12:50),생과3관-1202 생태관광치,,합)동물 유학
,,,3956,관광상품개발및기획,3,3-0-0,이광우,화(12:00-13:15),경영1관-1415 합)관광항공경 생태관광치,,유학
,,,3957,식육과학및실습,3,2-2-0,강석남 합)동물전선,수(13:00-16:50),생과3관-12023 생태관광치,,유학
,,,3958,축산환경학,3,3-0-0,심수민,금(13:30-14:45) | 금(15:00-16:15),생과3관-1203 생태관광치,,합)동물 유학
,,,3959,환대산업의경영전략,3,0-0-3,이광우,월(15:00-16:15) | 수(13:30-14:45),경영1관-1415 합)관광항공경 생태관광치,,유학
,,,3960,가축위생학및실습,3,2-2-0,강석남 합)동물전선,목(13:00-16:50),생과3관-12024 비고강의실강의시간담당,,외식산업경영학전공 교수시간학 점교과목명수강 번호수강학과구분학년 외식산업경 영학
,,,3961,회계원리(1),3,3-0-0,최정운,월(10:30-11:45) | 수(09:00-10:15),경영1관-12181,,합)회계전선
,,재과대,2052,기업경영의이해,3,3-0-0,이기은,월(15:00-16:15) | 수(13:30-14:45),재과1관-1213균형,,외식산업경 영학
,,,3962,원가회계론,3,3-0-0,정준희,월(10:30-11:45) | 수(09:00-10:15),경영1관-13092,,합)회계전필 외식산업경 영학
,,,3963,호텔경영의이해,3,2-0-1,노정희,월(13:30-14:45) | 수(15:00-16:15),경영1관-1419 합)관광항공경,,외식산업경 영학
,,,3964,재무기초와기업이해,3,0-0-3,이가연,화(09:00-10:15) | 목(10:30-11:45),경영1관-1412,,합)경영전선 외식산업경 영학
,,,3965,한국음식연구및실습,3,2-2-0,이정희 합)식품전선,수(09:00-12:50),공학3관-36143,,외식산업경 영학
,,,3966,MICE산업론,3,0-0-3,노정희,화(10:30-11:45) | 목(09:00-10:15),경영1관-1320 합)관광항공경,,외식산업경 영학
,,,3967,호텔관광소비자행동의,,,이해 3 0-0-3 노정희,화(15:00-16:15),경영1관-1415 합)관광항공경,,외식산업경 영학
,,,3968,식품품질평가실무,3,0-0-3,이정희 합)식품전선,화(14:00-16:50),공학3관-36144 비고강의실강의시간담당,글로벌ICT전공 글로벌ICT,교수시간학 점교과목명수강 번호수강학과구분학년 전공
,,,3969,전기전자일반,3,3-0-0,여준호,월(09:00-10:15) | 수(10:30-11:45),공학5관-51051,글로벌ICT,합)전자전기전선 전공
,,,3970,초급일본어문법(1),3,3-0-0,김봉정,월(15:00-16:15) | 수(13:30-14:45),인문2관-2203,,합)일본어
,,대학전체,1053,컴퓨팅적사고와융합적,,,문제해결 3 3-0-0 조익성,,DU∼MOOC DU∼MOOC균형,,
,,대학전체,3900,생활속의반도체,3,3-0-0,허경섭,,외부가상 외부가상,,
,,대학전체,1063,AI시대기술과윤리,3,3-0-0,김현숙,,DU∼MOOC DU∼MOOC,,
,,IT·공과대학,1723,AI시대기술과윤리,3,3-0-0,김현숙,월(12:00-13:15) | 수(12:00-13:15),공학5관-5206,,블렌디드러닝
,,대학전체,1080,TOEIC,2,2-0-0,라포인트 마 크 앤드류,수(14:00-15:50),경영1관-1401자유,,
,,대학전체,1082,비즈니스영어,3,3-0-0,마이클 파을,화(12:00-13:15) | 목(12:00-13:15),경영1관-1418,,
,,대학전체,1094,글로벌마켓창업과경영,3,0-0-3,이화진 교수학습1107,목(09:00-10:15) | 목(10:30-11:45),"NCS,실무교과",,목
,,대학전체,1137,컴퓨터처럼생각하기,3,3-0-0,정선영,,외부가상 외부가상,글로벌ICT,전공
,,,3971,C프로그래밍,3,2-0-1,도용태,화(13:30-14:45) | 목(15:00-16:15),공학5관-56012,글로벌ICT,합)전자전기전선 전공
,,,3972,일본어회화,3,3-0-0,타케시타 치 카,월(15:00-16:15) | 수(13:30-14:45),인문2관-2202,글로벌ICT,합)일본어 전공
,,,3973,앱프로그래밍,3,2-2-0,진성근 합)소프트웨어전선,금(13:00-16:50),공학7관-75073 비고강의실강의시간담당,,미술치료전공 교수시간학 점교과목명수강 번호수강학과구분학년 미술치료전 공
,,,3974,장애의이해와재활,3,2-0-1,최은영,화(12:00-13:15) | 목(12:00-13:15),재과1관-12151,,합)재활상담심전선 미술치료전 공
,,,3975,색채학,3,2-2-0,조주원 합)시각디자인전선,수(09:00-12:50),디예1관-11072,,미술치료전 공
,,,3976,장애인복지론,3,0-0-3,이동석,화(10:30-11:45) | 목(09:00-10:15),사회3관-3304,,합)사복 미술치료전 공
,,,3977,재활정책론,3,2-0-1,조성재,월(10:30-11:45) | 수(09:00-10:15),재과1관-1213 재과1관-1214,,합)재활상담심 미술치료전 공
,,,3978,장애아동진단및평가,3,2-0-1,서귀남,수(09:00-10:15) | 수(10:30-11:45),재과1관-13153,,합)재활상담심전선 미술치료전 공
,,,3979,창작과기법(1),2,0-4-0,미선임 합)아트앤디자,수(13:00-16:50),디예1관-1301,,미술치료전 공
,,,3980,미술치료학개론,3,2-0-1,미선임,월(09:00-10:15) | 월(10:30-11:45),재과1관-1214,,합)재활상담심 미술치료전 공
,,,3981,부모교육및상담,3,2-0-1,박지성,화(09:00-10:15) | 화(10:30-11:45),재과1관-12114,,합)재활상담심전선 미술치료전 공
,,,3935,미술재활현장실습,3,0-6-0,최은영,,현장실습 현장실습 비고강의실강의시간담당,,비즈니스데이터전공 교수시간학 점교과목명수강 번호수강학과구분학년 비즈니스데 이터전
,,,3982,경영데이터분석,3,3-0-0,교수학습11071 합)경영전선 비즈니스데 이터전,화(13:30-14:45) | 목(15:00-16:15),,,박상철
,,,3983,경영통계학,3,3-0-0,정인준,화(15:00-16:15) | 목(13:30-14:45),경영1관-13012,,합)경영전필 비즈니스데 이터전
,,,3984,정보보호,3,2-2-0,미선임 합)컴퓨터공학전선,화(09:00-12:50),공학7관-7605,,비즈니스데 이터전
,,,3985,데이터베이스,3,2-0-1,오유수,월(09:00-10:15) | 수(10:30-11:45),공학7관-76053,,합)소프트웨어전선 비즈니스데 이터전
,,,3986,앱프로그래밍,3,2-2-0,진성근 합)소프트웨어,금(13:00-16:50),공학7관-7507,,비즈니스데 이터전
,,,3987,인공지능,3,3-0-0,김종완,월(10:30-11:45) | 수(09:00-10:15),공학7관-75144,,합)컴퓨터공학전선 비즈니스데 이터전
,,,3988,사물인터넷,3,2-2-0,남흥우 합)컴퓨터공학,목(12:00-15:50),공학7관-7507,,비즈니스데 이터전
,,,3989,SW프로세스관리,3,3-0-0,김수연,월(15:00-16:15) | 수(13:30-14:45),공학7관-7615 비고강의실강의시간담당,,합)소프트웨어 AI응용전공 교수시간학 점교과목명수강 번호수강학과구분학년
,,AI응용전공,3990,파이썬프로그래밍,3,2-2-0,강신재 합)컴퓨터공학전선,월(09:00-12:50),공학7관-77051,,
,,대학전체,1053,컴퓨팅적사고와융합적,,,문제해결 3 3-0-0 조익성,,DU∼MOOC DU∼MOOC균형,,
,,AI응용전공,3991,딥러닝기초,3,3-0-0,차경애,월(13:30-14:45) | 수(15:00-16:15),공학5관-55052,,합)AI전필
,,AI응용전공,3992,자료구조,3,3-0-0,강병도,월(13:30-14:45) | 수(15:00-16:15),공학7관-7514,,합)컴퓨터전선
,,AI응용전공,3993,머신러닝,3,2-0-1,염석원,화(12:00-13:15) | 목(12:00-13:15),공학7관-7307,,합)AI
,,AI응용전공,3994,자료구조와알고리즘,3,3-0-0,차경애,화(13:30-14:45) | 목(15:00-16:15),공학5관-5505,,합)AI
,,AI응용전공,3995,자바프로그래밍,3,2-2-0,박세현,월(13:00-14:50) | 수(15:00-16:50),공학5관-56033,,합)AI전선
,,AI응용전공,3996,오픈소스소프트웨어,3,3-0-0,강신재,금(09:00-10:15) | 금(10:30-11:45),공학7관-7605,,합)컴퓨터공학
,,AI응용전공,3997,앱프로그래밍,3,2-2-0,진성근 합)소프트웨어,금(13:00-16:50),공학7관-7507,,
,,AI응용전공,3998,컴퓨터비전응용,3,0-0-3,염석원,화(15:00-16:15) | 목(13:30-14:45),공학7관-7307,,합)AI
,,AI응용전공,3999,컴퓨터비전시스템,3,1-0-2,이동화,월(15:00-16:15) | 수(13:30-14:45),공학5관-5605 비고강의실강의시간담당,,합)반도체전자 스마트센싱전공 교수시간학 점교과목명수강 번호수강학과구분학년 스마트센싱 전공
,,,4000,전기전자일반,3,3-0-0,정현,화(09:00-10:15) | 목(10:30-11:45),공학5관-52061,,합)전자전기전선 스마트센싱 전공
,,,4001,딥러닝기초,3,3-0-0,차경애,월(13:30-14:45) | 수(15:00-16:15),공학5관-55052,,합)AI전필 스마트센싱 전공
,,,4002,회로이론(1),3,3-0-0,심용석,화(09:00-10:15) | 목(10:30-11:45),공학5관-5105,,합)전자전기전선 스마트센싱 전공
,,,4003,디지털공학(1),3,3-0-0,이익수,목(15:00-16:15) | 목(16:30-17:45),공학5관-5205,,합)전자전기 스마트센싱 전공
,,,4004,자료구조와알고리즘,3,3-0-0,차경애,화(13:30-14:45) | 목(15:00-16:15),공학5관-5505,,합)AI 스마트센싱 전공
,,,4005,전자회로(2),3,3-0-0,문현원 합)반도체전자전선,수(15:00-16:15),공학5관-51043,,스마트센싱 전공
,,,4006,마이크로컴퓨터시스템,,,설계 3 1-0-2 미선임,목(13:30-14:45) | 목(15:00-16:15),공학5관-5605,,합)반도체전자 스마트센싱 전공
,,,4007,종합설계,3,0-0-3,류정탁,월(13:30-14:45) | 월(15:00-16:15),공학5관-53014 비고강의실강의시간담당,,합)반도체전자전필 스마트제로에너지전공 교수시간학 점교과목명수강 번호수강학과구분학년 스마트제로 에너지
,,,4008,전기전자일반,3,3-0-0,여준호,월(09:00-10:15) | 수(10:30-11:45),공학5관-51051,,합)전자전기전선 스마트제로 에너지
,,,4009,회로이론(1),3,3-0-0,최병재,월(09:00-10:15) | 수(10:30-11:45),공학5관-52052,,합)전자전기전선 스마트제로 에너지
,,,4010,디지털공학(1),3,3-0-0,정영호,월(10:30-11:45) | 수(09:00-10:15),공학5관-5306,,합)전자전기 스마트제로 에너지
,,,4011,자동제어,3,3-0-0,최병재,월(10:30-11:45) | 수(09:00-10:15),공학5관-53053,,합)전기전선 스마트제로 에너지
,,,4012,전기기기,3,3-0-0,정재우,화(15:00-16:15) | 목(13:30-14:45),공학5관-5306,,합)전기 스마트제로 에너지
,,,4013,전기계측,3,3-0-0,도용태,월(13:30-14:45) | 수(15:00-16:15),공학5관-5206,,합)전기 스마트제로 에너지
,,,4014,디스플레이공학,3,3-0-0,박철영,화(09:00-10:15) | 목(10:30-11:45),공학5관-51044 비고강의실강의시간담당,,합)반도체전자전선 스마트팜전공 교수시간학 점교과목명수강 번호수강학과구분학년 스마트팜전 공
,,,4015,동물자원학,3,3-0-0,김원섭,금(09:00-10:15) | 금(10:30-11:45),생과3관-12051,,합)동물전선 스마트팜전 공
,,,4016,회로이론(1),3,3-0-0,최병재,월(09:00-10:15) | 수(10:30-11:45),공학5관-52052,,합)전자전기전선 스마트팜전 공
,,,4017,디지털공학(1),3,3-0-0,정영호,월(10:30-11:45) | 수(09:00-10:15),공학5관-5306,,합)전자전기 스마트팜전 공
,,,4018,가축사양학및실습,3,2-2-0,김원섭 합)동물전선,목(09:00-12:50),생과3관-12033,,스마트팜전 공
,,,4019,농산물품질관리론,3,3-0-0,사공동훈,월(09:00-10:15) | 수(10:30-11:45),생과5관-2413,,합)스마트원예 스마트팜전 공
,,,4020,축산환경학,3,3-0-0,심수민,금(13:30-14:45) | 금(15:00-16:15),생과3관-1203,,합)동물 스마트팜전 공
,,,4021,치유농업사육및실습,3,2-2-0,이신자 합)동물,월(13:00-16:50),생과3관-1303,,스마트팜전 공
,,,4022,원예치료개론,3,3-0-0,김영선,화(09:00-10:15) | 목(10:30-11:45),생과5관-2412,,합)스마트원예 스마트팜전 공
,,,4023,가축위생학및실습,3,2-2-0,강석남 합)동물전선,목(13:00-16:50),생과3관-12024,,스마트팜전 공
,,,4024,임베디드시스템,3,2-0-1,유성은,월(10:30-11:45) | 수(09:00-10:15),공학5관-5605 비고강의실강의시간담당,,합)전기 프리로스쿨전공 교수시간학 점교과목명수강 번호수강학과구분학년 프리로스쿨 전공
,,,4025,경영학원론,3,3-0-0,이웅규,수(13:30-14:45) | 수(15:00-16:15),경영1관-13131,,합)경영전선 프리로스쿨 전공
,,,4026,법학개론,3,3-0-0,최진원 공공인재-131 합)공직법무 프리로스쿨 전공,월(13:30-14:45) | 수(15:00-16:15),,,
,,,4027,헌법입문,3,3-0-0,정극원 공공인재-230 합)공직법무 대학,월(15:00-16:15) | 수(13:30-14:45),,글로벌경영,
,,,1369,즐거운철학이야기,3,3-0-0,양승권,화(12:00-13:15),경영1관-1310,블렌디드러닝균형,
,,사회대,1435,즐거운철학이야기,3,3-0-0,김영진,월(12:00-13:15) | 수(12:00-13:15),사회3관-3202,,
,,사범대,1908,즐거운철학이야기,3,3-0-0,이종주,월(12:00-13:15) | 수(12:00-13:15),사범1관-1434,,보건바이오 대학
,,,1549,인문학과과학기술,3,3-0-0,박붕익,화(13:30-14:45) | 목(15:00-16:15),생과1관-1414,,
,,IT·공과대학,1716,인문학과과학기술,3,3-0-0,박붕익,월(16:30-17:45) | 수(16:30-17:45),공학1관-0202,,
,,재과대,2053,인문학과과학기술,3,3-0-0,전용숙,화(16:30-17:45) | 목(16:30-17:45),재과1관-1212,,
,,공공인재,1258,문학과예술의사회사,3,3-0-0,주영중,화(13:30-14:45) | 목(15:00-16:15),사회3관-3201,,
