구분,학년,수강학과,수강번호,교과목명,학점,시간,담당교수,강의시간,강의실,소영역,비고
,,,1369,즐거운철학이야기,3,3-0-0,양승권,화(12:00-13:15),경영1관-13101,블렌디드러닝균형,
,,사회대,1435,즐거운철학이야기,3,3-0-0,김영진,월(12:00-13:15) | 수(12:00-13:15),사회3관-3202,,
,,사범대,1908,즐거운철학이야기,3,3-0-0,이종주,월(12:00-13:15) | 수(12:00-13:15),사범1관-1434,,보건바이오 대학
,,,1548,세계를보는세가지시선,3,3-0-0,원효식,화(13:30-14:45) | 목(15:00-16:15),생과3관-1302,,
,,공공인재,1256,고전과현대문화,3,3-0-0,백순철,월(16:30-17:45) | 수(16:30-17:45),사회3관-3202,글로벌경영,대학
,,,1372,고전과현대문화,3,3-0-0,김민규,화(16:30-17:45) | 목(16:30-17:45),경영1관-1313,,블렌디드러닝 보건바이오 대학
,,,1550,고전과현대문화,3,3-0-0,김민규,화(13:30-14:45) | 목(15:00-16:15),생과2관-1104,,블렌디드러닝
,,디예대,1808,고전과현대문화,3,3-0-0,노우정,화(13:30-14:45) | 목(15:00-16:15),디예2관-2209,,블렌디드러닝
,,사범대,1911,고전과현대문화,3,3-0-0,노우정,화(16:30-17:45) | 목(16:30-17:45),사범1관-1210,,블렌디드러닝
,,사회대,1436,모더니즘산책,3,3-0-0,서요성,월(15:00-16:15) | 수(13:30-14:45),사회3관-3305,,
,,대학전체,1051,고대그리스철학,3,3-0-0,,,DU∼MOOC DU∼MOOC,,변상출
,,사회대,1439,고대그리스철학,3,3-0-0,,화(12:00-13:15) | 목(12:00-13:15),사과1관-1410,,변상출
,,대학전체,1052,고대그리스철학,3,3-0-0,,,"DU∼MOOC DU∼MOOC,",,변상출 외국인분반
,,사범대,1916,"클라시카,플라톤,국가",3,3-0-0,,수(15:00-16:15),사범1관-1217,,변상출 블렌디드러닝
,,대학전체,1054,"클라시카,호메로스,일",,,리아드오디세이아 3 3-0-0 조혜경,수(09:00-10:15),인문1관-1224,,블렌디드러닝
,,사범대,1917,"클라시카,공자,논어",3,3-0-0,노우정,월(10:30-11:45) | 수(09:00-10:15),사범1관-1210,글로벌경영,블렌디드러닝 대학
,,,1375,"클라시카,단테,신곡",3,3-0-0,송효정,월(10:30-11:45) | 수(09:00-10:15),경영1관-1311,,
,,대학전체,1058,클래식로드,3,3-0-0,조혜경,화(12:00-13:15),인문1관-1224,,블렌디드러닝
,,IT·공과대학,1732,진화하는호모테크니쿠,,,스 2 2-0-0 조현우,금(11:00-12:50),공학1관-0202자유,,
,,디예대,1820,서양미술의이해,3,3-0-0,임윤수,,DU∼MOOC DU∼MOOC 비고강의실강의시간담당,,디지털미디어콘텐츠전공 교수시간학 점교과목명수강 번호수강학과구분학년 디지털미디 어콘텐
,,,3942,문화콘텐츠입문,3,1-0-2,서요성,화(10:30-11:45) | 목(09:00-10:15),인문1관-12201,합)문화콘텐츠전선,
,,대학전체,1044,디지털사진의이해와활,,,용 2 1-2-0 박영식,화(12:00-14:50),경영1관-1419균형,글로벌경영,대학
,,,1369,즐거운철학이야기,3,3-0-0,양승권,화(12:00-13:15),경영1관-1310,,블렌디드러닝
,,사회대,1435,즐거운철학이야기,3,3-0-0,김영진,월(12:00-13:15) | 수(12:00-13:15),사회3관-3202,,
,,사범대,1908,즐거운철학이야기,3,3-0-0,이종주,월(12:00-13:15) | 수(12:00-13:15),사범1관-1434,,보건바이오 대학
,,,1552,디지털기술과미래사회,3,3-0-0,박붕익,화(15:00-16:15) | 목(13:30-14:45),생과3관-1205,,
,,IT·공과대학,1718,디지털기술과미래사회,3,3-0-0,박붕익,월(13:30-14:45) | 수(15:00-16:15),공학1관-0201,,
,,재과대,2055,디지털기술과미래사회,3,3-0-0,조익성,수(13:30-14:45),재과1관-1104,,블렌디드러닝
,,공공인재,1258,문학과예술의사회사,3,3-0-0,주영중,화(13:30-14:45) | 목(15:00-16:15),사회3관-3201,,
,,디예대,1809,문학과예술의사회사,3,3-0-0,윤주한,월(16:30-17:45),디예2관-2310,,블렌디드러닝
,,사범대,1912,문학과예술의사회사,3,3-0-0,윤주한,화(13:30-14:45),사범1관-1216,,블렌디드러닝
,,재과대,2056,문학과예술의사회사,3,3-0-0,노우정,월(15:00-16:15) | 수(13:30-14:45),재과1관-1212,,블렌디드러닝
,,문화콘텐츠,1204,예술과디지털커뮤니케,,,이션 3 3-0-0 이소영,금(13:30-14:45) | 금(15:00-16:15),인문2관-2202,,
,,디예대,1810,예술과디지털커뮤니케,,,이션 3 3-0-0 이소영,금(09:00-10:15) | 금(10:30-11:45),디예2관-2310,,
,,대학전체,1047,디지털융합생태계,3,3-0-0,박세현,월(15:00-16:15) | 수(13:30-14:45),공학6관-6409,,
,,문화콘텐츠,1205,아름다움이란무엇인가,3,3-0-0,윤주한,화(16:30-17:45) | 목(16:30-17:45),인문2관-2202,,
,,디예대,1811,아름다움이란무엇인가,3,3-0-0,윤주한,월(13:30-14:45) | 수(15:00-16:15),디예2관-2310,,
,,사범대,1915,아름다움이란무엇인가,3,3-0-0,,화(16:30-17:45) | 목(16:30-17:45),사범1관-1216,,변상출
,,대학전체,1050,동양철학과하이브리드,,,3 3-0-0 양승권,,DU∼MOOC DU∼MOOC,문화 글로벌경영,대학
,,,1373,동양철학과하이브리드,,,3 3-0-0 안효성,화(12:00-13:15) | 목(12:00-13:15),경영1관-1209,문화,
,,사회대,1437,동양철학과하이브리드,,,3 3-0-0 김용휘,화(16:30-17:45) | 목(16:30-17:45),사과1관-1410,문화,
,,재과대,2058,동양철학과하이브리드,,,3 3-0-0 김용휘,화(12:00-13:15) | 목(12:00-13:15),재과1관-1213,문화,
,,대학전체,1053,컴퓨팅적사고와융합적,,,문제해결 3 3-0-0 조익성,,DU∼MOOC DU∼MOOC,,
,,사범대,1919,공감하는인간의이해,3,3-0-0,조혜경,수(12:00-13:15),사범1관-1216,,블렌디드러닝
,,재과대,2061,공감하는인간의이해,3,3-0-0,조혜경,화(16:30-17:45),재과1관-1213,글로벌경영,블렌디드러닝 대학
,,,1380,영상과동아시아의근대,3,3-0-0,송효정,화(12:00-13:15) | 목(12:00-13:15),경영1관-1313,,
,,문화콘텐츠,1207,"놀이,예술,상상력",2,2-0-0,이소영,수(12:00-13:50),인문1관-1324,,블렌디드러닝
,,디예대,1814,"놀이,예술,상상력",2,2-0-0,이소영,목(10:00-11:50),디예2관-22091,블렌디드러닝균형,
,,사범대,1921,"놀이,예술,상상력",2,2-0-0,이소영,목(13:00-14:50),사범1관-1434,글로벌경영,블렌디드러닝 대학
,,,1382,다매체시대의영상서사,,,론 3 3-0-0 송효정,월(15:00-16:15) | 수(13:30-14:45),경영1관-1312,,
,,디예대,1816,"시,상상,모험",2,2-0-0,주영중,수(10:00-11:50),디예2관-2310,,
,,사범대,1929,"시,상상,모험",2,2-0-0,주영중,목(10:00-11:50),사범1관-1434,,디지털미디 어콘텐
,,,3943,기초웹툰스튜디오(1),3,2-2-0,미선임 합)웹툰전선,목(09:00-12:50),디예1관-14132 비고강의실강의시간담당,글로벌경영,오디세이미래인재전공 교수시간학 점교과목명수강 번호수강학과구분학년 대학
,,,1369,즐거운철학이야기,3,3-0-0,양승권,화(12:00-13:15),경영1관-13101,블렌디드러닝균형,
,,사회대,1435,즐거운철학이야기,3,3-0-0,김영진,월(12:00-13:15) | 수(12:00-13:15),사회3관-3202,,
,,사범대,1908,즐거운철학이야기,3,3-0-0,이종주,월(12:00-13:15) | 수(12:00-13:15),사범1관-1434,,보건바이오 대학
,,,1549,인문학과과학기술,3,3-0-0,박붕익,화(13:30-14:45) | 목(15:00-16:15),생과1관-1414,,
,,IT·공과대학,1716,인문학과과학기술,3,3-0-0,박붕익,월(16:30-17:45) | 수(16:30-17:45),공학1관-0202,,
,,재과대,2053,인문학과과학기술,3,3-0-0,전용숙,화(16:30-17:45) | 목(16:30-17:45),재과1관-1212,,보건바이오 대학
,,,1552,디지털기술과미래사회,3,3-0-0,박붕익,화(15:00-16:15) | 목(13:30-14:45),생과3관-1205,,
,,IT·공과대학,1718,디지털기술과미래사회,3,3-0-0,박붕익,월(13:30-14:45) | 수(15:00-16:15),공학1관-0201,,
,,재과대,2055,디지털기술과미래사회,3,3-0-0,조익성,수(13:30-14:45),재과1관-1104,,블렌디드러닝
,,문화콘텐츠,1205,아름다움이란무엇인가,3,3-0-0,윤주한,화(16:30-17:45) | 목(16:30-17:45),인문2관-2202,,
