구분,학년,수강학과,수강번호,교과목명,학점,시간,담당교수,강의시간,강의실,소영역,비고
자유,1,대학전체,1078,사회봉사(1),1,0-0-1,이한성,화(13:00-13:50),웅지관강당,,
,,대학전체,1079,사회봉사(2),1,0-0-1,이한성,화(14:00-14:50),웅지관강당,,
,,대학전체,1080,TOEIC,2,2-0-0,라포인트 마크 앤드,없음수(14:00-15:50),경영1관-14,,
,,대학전체,1081,DU문화지대,1,0-2-0,학생처장,목(15:00-16:50),웅지관강당,,
,,대학전체,1082,비즈니스영어,3,3-0-0,마이클 파 을,화(12:00-13:15) | 목(12:00-13:15),경영1관-14,,
,,대학전체,1083,미국수화(1),2,1-2-0,허세영 장애센터,목(15:00-17:50),,,
,,대학전체,1084,한국식영어의허점과,,,오류 3 3-0-0 이은석,없음화(13:30-14:45) | 목(15:00-16:15),사범1관-11,,
,,대학전체,1085,*영화로보는한국의,,,근현대사 2 2-0-0 잭슨 윌리 엄 매튜 로,수(10:00-11:50),인문1관-14,,
,,대학전체,1086,*한국어능력시험특,,,강1 3 3-0-0 김명광 없음,,DU∼MOO DU∼MOOC,,C
,,대학전체,1087,북한학,3,3-0-0,김정수 공공인재-13,월(15:00-16:15) | 수(13:30-14:45),,,
,,대학전체,1088,창업의이해,2,2-0-0,문홍수,목(09:00-10:50),경영1관-12,,
,,대학전체,1089,창업의이해,2,2-0-0,문홍수,수(10:00-11:50),경영1관-12,,
,,대학전체,1090,창업의이해,2,2-0-0,서태호,금(09:00-10:50),경영1관-13,,
,,대학전체,1091,창업마케팅,2,2-0-0,서태호,목(11:00-12:50),경영1관-14,,
,,대학전체,1092,기업가정신,2,2-0-0,정규만,화(13:00-14:50),경영1관-11,,
,,대학전체,1093,기업가정신,2,2-0-0,이문락,수(14:00-15:50),경영1관-11,,
,,대학전체,1094,글로벌마켓창업과경,,,영 3 0-0-3 이화진,목(09:00-10:15) | 목(10:30-11:45),"NCS,실무",,교과목 교수학습110
,,대학전체,1095,헌혈봉사(1),1,1-0-0,학생처장,화(16:00-16:50),웅지관강당,,
,,대학전체,1096,헌혈봉사(1),1,1-0-0,학생처장,수(16:00-16:50),웅지관강당,,
,,대학전체,1097,헌혈봉사(1),1,1-0-0,학생처장,금(10:00-10:50),웅지관강당,,
,,대학전체,1098,헌혈봉사(2),1,1-0-0,학생처장,금(14:00-14:50),웅지관강당,,
,,대학전체,1099,휠체어테니스,2,0-2-1,한건수 테니스장,없음화(14:00-16:50),,,
,,대학전체,1100,장애학생을위한필라,,,테스 2 0-2-1 박미향 평교GX룸,월(13:00-15:50),,,
,,대학전체,1101,가상창업비즈니스모,,,델론 2 2-0-0 서태호,목(09:00-10:50),경영1관-13,,
,,대학전체,1102,창업캡스톤디자인,3,3-0-0,이재현,없음월(10:30-11:45) | 수(09:00-10:15),경영1관-11 경영1관-12,,
,,대학전체,1103,실전창업의기초,2,2-0-0,문홍수,수(15:00-16:50),경영1관-12,,
