구분,학년,수강학과,수강번호,교과목명,학점,시간,담당교수,강의시간,강의실,소영역,비고
전선,2,청소년상담,2545,정신건강론,3,2-0-1,최웅용,화(15:00-16:15) | 목(13:30-14:45),사과1관-14 실무교과목,,
,,청소년상담,2546,정신건강론,3,2-0-1,박성원,화(09:00-10:15),"사과1관-14 실무교과목,블",,렌디드러닝
,,청소년상담,2547,정신건강론,3,2-0-1,이은정,월(12:00-13:15) | 수(12:00-13:15),사과1관-14 실무교과목,,
,3,청소년상담,2554,사회복지조사론,3,2-0-1,이윤주,월(12:00-13:15) | 수(12:00-13:15),사과1관-14 실무교과목,,
,,청소년상담,2555,사회복지조사론,3,2-0-1,이윤주,월(13:30-14:45) | 수(15:00-16:15),사과1관-14 실무교과목 강의실,,아동상담 교수 강의시간 비고
전선,2,아동가정,2569,인간행동과사회환경,3,0-0-3,노성향,화(15:00-16:15) | 목(13:30-14:45),"사과1관-14 실무교과목,블",,렌디드러닝
,,아동가정,2570,인간행동과사회환경,3,0-0-3,김성령,목(15:00-16:15) | 목(16:30-17:45),사과1관-15 실무교과목,,
,3,아동가정,2581,놀이지도,3,2-2-0,노성향,수(09:00-12:50),"사과1관-15 취업설계,실무 강의실",,교과목 식품위생및안전학 교수 강의시간 비고
전선,3,식품가공,2703,HACCP의이해,3,3-0-0,유병혁,수(13:30-14:45) | 수(15:00-16:15),공학2관-23 강의실,,공간디자인 교수 강의시간 비고
전선,1,실건,3250,실내디자인표현기법,2,0-2-1,미선임,금(10:00-12:50),"디예5관-13 트랙,실무교과",,목
,,실건,3251,실내디자인표현기법,2,0-2-1,미선임,금(13:00-15:50),"디예5관-13 트랙,실무교과",,목
,,실건,3252,실내디자인표현기법,2,0-2-1,목,금(14:00-16:50),"디예5관-13 트랙,실무교과",,전상훈
,,실건,3254,기초공간디자인스튜디오(1),3,1-2-1,김수홍 디자인씽킹,월(09:00-12:50),디예5관-13,,
,,실건,3255,기초공간디자인스튜디오(1),3,1-2-1,김수홍 디자인씽킹,목(09:00-12:50),디예5관-13,,
,2,실건,3256,디자인리서치,2,1-2-0,김태혁 전공필드,수(10:00-12:50),디예5관-13,,
,,실건,3257,디자인리서치,2,1-2-0,김태혁 전공필드,수(14:00-16:50),디예5관-13,,
,,실건,3265,CAD이론및실습,2,0-2-1,김지형,화(10:00-12:50),"디예5관-13 트랙,실무교과",,목
,,실건,3266,CAD이론및실습,2,0-2-1,김지형,화(14:00-16:50),"디예5관-13 트랙,실무교과 강의실",,목 보조공학서비스 교수 강의시간 비고
전선,2,의료재활,3619,재활제어인터페이스,3,2-2-0,송병섭,월(10:00-11:50) | 화(13:00-14:50),재과1관-12 재과1관-14,,A반
,,의료재활,3620,재활제어인터페이스,3,2-2-0,송병섭,월(13:00-14:50) | 화(10:00-11:50),재과1관-12 재과1관-14 강의실,,B반 영어커뮤니케이션 교수 강의시간 비고
전선,3,국제어문,2357,영어단어의이해,3,3-0-0,ICT스타트업법무,화(13:30-14:45) | 목(15:00-16:15),윤관희 인문2관-24 강의실,,교수 강의시간 비고
전선,3,공공안전법,2279,계약법,3,3-0-0,장병주 공공인재-12,화(13:30-14:45) | 목(15:00-16:15),,,
,4,공공안전법,2283,소비자보호법,3,3-0-0,이승환 공공인재-23 청소년지도 교수 강의시간,월(15:00-16:15) | 수(13:30-14:45),강의실,,비고
전선,1,청소년상담,2541,청소년심리및상담,3,2-0-1,이인숙,화(13:30-14:45) | 목(15:00-16:15),사과1관-14 실무교과목,,
,,청소년상담,2542,청소년심리및상담,3,2-0-1,박경례,화(13:30-14:45) | 목(15:00-16:15),사과1관-14 실무교과목,,
,2,청소년상담,2548,청소년프로그램개발과평가,3,0-0-3,박경례,화(12:00-13:15) | 목(12:00-13:15),"사과1관-14 취업설계,실무",,교과목
,,청소년상담,2549,청소년프로그램개발과평가,3,0-0-3,이인숙,화(10:30-11:45) | 목(09:00-10:15),"사과1관-14 취업설계,실무",,교과목
,,청소년상담,2550,청소년활동,3,2-0-1,이준기,화(15:00-17:50),사과1관-15 실무교과목,,
,,청소년상담,2551,청소년활동,3,2-0-1,이은정,월(13:30-14:45) | 수(15:00-16:15),사회3관-33 실무교과목,,
,,청소년상담,2552,청소년지도방법론,3,2-0-1,설영일,월(15:00-17:50),사회3관-33 실무교과목,,
,,청소년상담,2553,청소년지도방법론,3,2-0-1,미선임,월(10:30-11:45) | 월(12:00-13:15),사과1관-15 실무교과목,,
,3,청소년상담,2559,청소년문제와보호,3,2-0-1,박성원,화(10:30-11:45),"사과1관-14 실무교과목,블",,렌디드러닝
,4,청소년상담,2564,청소년육성제도론,3,2-0-1,윤민화,월(13:30-14:45) | 수(15:00-16:15),사과1관-14 실무교과목 강의실,,스마트모빌리티전공 교수 강의시간 비고
전선,3,전기,2875,전기기기,3,3-0-0,정재우,화(15:00-16:15) | 목(13:30-14:45),공학5관-53,,NCS
,,기계,2998,CAE,3,2-0-1,황우석,화(09:00-10:15) | 목(10:30-11:45),"공학6관-64 공학6관-63 실무교과목,A",,
,,기계,2999,CAE,3,2-0-1,황우석,화(10:30-11:45) | 목(09:00-10:15),"공학6관-64 공학6관-63 실무교과목,B",,
,,미래자동차,3009,미래자동차공학,3,3-0-0,유재현,월(13:30-14:45) | 수(15:00-16:15),공학6관-64,,
